"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","面積（㎡）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","長町","30分～60分",4000000,210,"ほぼ長方形",12,60,"1970年","木造","","","南","市道",5,"１低住専",50,80,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","長町南","30分～60分",3500000,160,"ほぼ台形",12.9,55,"1980年","木造","住宅","","北東","市道",6,"１低住専",50,80,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","長町南",29,10000000,330,"ほぼ長方形",22,125,"1969年","木造","住宅","","北東","市道",6,"１低住専",50,80,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","長町南","30分～60分",11000000,250,"ほぼ長方形",14,160,"1988年","木造","住宅","","南西","市道",4,"１低住専",50,80,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","泉崎","富沢",10,32000000,165,"不整形",2.5,105,"2010年","木造","住宅","","北","市道",6,"２中住専",60,200,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","04104","宮城県","仙台市太白区","泉崎","長町南",9,220000000,440,"長方形",26,750,"1993年","ＲＣ","共同住宅、事務所、店舗","","東","市道",18,"２中住専",60,200,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","大塒町","長町南",29,31000000,680,"長方形",22,140,"1983年","木造","住宅","","南東","市道",6.2,"１低住専",50,80,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鈎取","長町南","30分～60分",24000000,185,"ほぼ長方形",12,105,"2010年","木造","住宅","","南東","市道",8.5,"１低住専",50,80,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鈎取","長町南","30分～60分",16000000,410,"ほぼ台形",10,125,"1992年","木造","住宅","","北東","私道",4,"１種住居",60,200,"2010年第4四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","鈎取","長町南","30分～60分",28000000,195,"台形",10,110,"2011年","木造","住宅","","北東","市道",4,"１低住専",50,80,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","太子堂",20,17000000,150,"ほぼ長方形",13,70,"2010年","木造","住宅","","西","市道",4.5,"１種住居",60,200,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","長町",18,30000000,150,"ほぼ長方形",11,120,"2010年","木造","住宅","","北","私道",6,"２種住居",60,200,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","長町",14,32000000,140,"ほぼ長方形",8,105,"2011年","木造","住宅","","南","道路",5.5,"２種住居",60,200,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","郡山","長町",16,26000000,160,"ほぼ長方形",14,"","","木造","住宅","","南","市道",7.5,"２種住居",60,200,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","桜木町","長町南","30分～60分",12000000,180,"ほぼ台形",5,60,"1968年","木造","住宅","","南","市道",6,"１低住専",50,80,"2010年第4四半期","調停・競売等"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","佐保山","長町南","1H～1H30",17000000,210,"ほぼ長方形",15.5,110,"1997年","木造","住宅","","南西","私道",5.5,"１低住専",50,80,"2010年第4四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",18000000,195,"台形",16,125,"2000年","木造","住宅","","北","市道",7.5,"１種住居",60,200,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",11000000,210,"ほぼ台形",10,105,"1995年","木造","住宅","","西","市道",5.5,"１低住専",50,80,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",19000000,240,"長方形",10,110,"1998年","木造","住宅","","南西","市道",5.5,"１低住専",50,80,"2010年第4四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","四郎丸","南仙台","30分～60分",5500000,150,"ほぼ台形",11,60,"1989年","木造","住宅","","東","市道",10,"１低住専",50,80,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","砂押南町","長町南",20,29000000,145,"ほぼ長方形",4,120,"2010年","木造","住宅","","南西","私道",4,"近隣商業",80,300,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","太子堂","太子堂",10,34000000,195,"長方形",9.5,110,"2011年","木造","住宅","","南","私道",4.5,"工業",60,200,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","太白","富沢","1H～1H30",22000000,175,"ほぼ長方形","",110,"2010年","木造","住宅","","北西","道路",6,"１低住専",60,80,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","中田","南仙台",2,33000000,210,"不整形",9.5,120,"2010年","木造","住宅","","南東","道路",4,"近隣商業",80,300,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","中田町","南仙台",20,24000000,730,"ほぼ台形",21,260,"1992年","鉄骨造","事務所、倉庫","","西","私道","","１種住居",60,200,"2010年第4四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","西中田","南仙台",15,27000000,185,"ほぼ整形","",105,"2010年","木造","住宅","","南","私道",4.5,"調整区域","","","2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","西の平","長町南","30分～60分",24000000,210,"ほぼ台形",11,105,"2010年","木造","住宅","","南東","私道",5,"２種住居",60,200,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","羽黒台","富沢","1H～1H30",8600000,290,"ほぼ長方形",13.3,85,"1976年","ＲＣ","住宅","","北","市道",4.5,"１低住専",50,60,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","愛宕橋","30分～60分",4200000,150,"長方形",9.4,85,"1969年","木造","住宅","","南西","農道",4,"１低住専",50,80,"2011年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","東中田","南仙台",28,26000000,180,"ほぼ長方形","",110,"2010年","木造","住宅","","北西","区画街路",6,"１低住専",50,80,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","東中田","南仙台",26,6700000,155,"長方形",8.4,85,"1976年","木造","住宅","","南","市道",4.5,"１低住専",50,80,"2010年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","長町南","30分～60分",4900000,260,"長方形",14.6,135,"1988年","木造","住宅","","東","私道",4.5,"１低住専",50,80,"2011年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","長町南","30分～60分",710000,240,"不整形",15,50,"1971年","木造","住宅","","接面道路無","","","１低住専",50,80,"2011年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","長町南","30分～60分",5300000,210,"ほぼ整形","",70,"1969年","木造","住宅","","南東","私道",4,"１低住専",50,80,"2011年第2四半期","私道を含む取引"
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","長町南","30分～60分",8500000,230,"正方形",15,95,"1970年","木造","共同住宅","","南西","市道",6,"１低住専",50,80,"2011年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","青山","長町南","30分～60分",30000000,270,"ほぼ長方形",18,175,"2008年","木造","住宅","","北西","市道",4,"１低住専",50,80,"2011年第1四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","04104","宮城県","仙台市太白区","秋保町湯元","仙台","2H～",8500000,195,"不整形",8.2,85,"1983年","木造","住宅","","南","市道",6,"商業",80,400,"2011年第2四半期",""
